assignment_ID,timePeriod,startDate,endDate,bookedCapacityInHours
662068b8-c4c9-46d5-b303-17dff74a113b,202101,01-01-2021,31-01-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202102,01-02-2021,28-02-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202103,01-03-2021,31-03-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202104,01-04-2021,30-04-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202105,01-05-2021,31-05-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202106,01-06-2021,30-06-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202107,01-07-2021,31-07-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202108,01-08-2021,31-08-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202109,01-09-2021,30-09-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202110,01-10-2021,31-10-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202111,01-11-2021,30-11-2021,95
662068b8-c4c9-46d5-b303-17dff74a113b,202112,01-12-2021,31-12-2021,95
6dd29689-623a-454d-934a-ac921a458f24,202107,01-07-2021,31-07-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202108,01-08-2021,31-08-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202109,01-09-2021,30-09-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202110,01-10-2021,31-10-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202111,01-11-2021,30-11-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202112,01-12-2021,31-12-2021,97
6dd29689-623a-454d-934a-ac921a458f24,202201,01-01-2022,31-01-2022,97
6dd29689-623a-454d-934a-ac921a458f24,202202,01-02-2022,28-02-2022,97
234bb8e8-5f04-4503-973a-773ef0fccc00,202105,01-05-2021,31-05-2021,234
234bb8e8-5f04-4503-973a-773ef0fccc00,202106,01-06-2021,30-06-2021,234
234bb8e8-5f04-4503-973a-773ef0fccc00,202107,01-07-2021,31-07-2021,234
234bb8e8-5f04-4503-973a-773ef0fccc00,202108,01-08-2021,31-08-2021,234
234bb8e8-5f04-4503-973a-773ef0fccc00,202109,01-09-2021,30-09-2021,234
188bb8e8-5f04-4503-973a-773ef0fccc00,202101,01-01-2021,31-01-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202102,01-02-2021,28-02-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202103,01-03-2021,31-03-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202104,01-04-2021,30-04-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202105,01-05-2021,31-05-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202106,01-06-2021,30-06-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202107,01-07-2021,31-07-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202108,01-08-2021,31-08-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202109,01-09-2021,30-09-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202110,01-10-2021,31-10-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202111,01-11-2021,30-11-2021,82
188bb8e8-5f04-4503-973a-773ef0fccc00,202112,01-12-2021,31-12-2021,82
199bb8e8-5f04-4503-973a-773ef0fccc00,202101,01-01-2021,31-01-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202102,01-02-2021,28-02-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202103,01-03-2021,31-03-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202104,01-04-2021,30-04-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202105,01-05-2021,31-05-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202106,01-06-2021,30-06-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202107,01-07-2021,31-07-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202108,01-08-2021,31-08-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202109,01-09-2021,30-09-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202110,01-10-2021,31-10-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202111,01-11-2021,30-11-2021,80
199bb8e8-5f04-4503-973a-773ef0fccc00,202112,01-12-2021,31-12-2021,80
582068b8-c4c9-46d5-b303-17dff74a113b,202101,01-01-2021,31-01-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202102,01-02-2021,28-02-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202103,01-03-2021,31-03-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202104,01-04-2021,30-04-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202105,01-05-2021,31-05-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202106,01-06-2021,30-06-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202107,01-07-2021,31-07-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202108,01-08-2021,31-08-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202109,01-09-2021,30-09-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202110,01-10-2021,31-10-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202111,01-11-2021,30-11-2021,95
582068b8-c4c9-46d5-b303-17dff74a113b,202112,01-12-2021,31-12-2021,95
